"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"EOejC-yOOkA0zA4nc9SpHatI3WNdK_t65qw9VzvpimYosCRnpyZbwg3ASSXMXGFZ","2022-01-15 23:55:00","2022-01-16 00:00:02","2022-01-16 00:00:02","","57fe6296035f6e0001d71d05","61e19414185ab41992e2afa7","61e350bface871a166de3bdf","60","60","60","60","75","100","100","100","100","120","60","60","60","90","120","4"
"q9KrtRi_WYbzrIOAo8FO-DrpR4uMFyaf7aoUgXYODMoTY2ipf5bCqr1Z7_MCa2fr","2022-01-15 23:55:00","2022-01-15 23:58:26","2022-01-15 23:58:26","","6040f50574a4b5034ee4e368","61e19414185ab41992e2afa7","61e350c08e19c3e6af09f111","40","40","40","60","90","95","95","95","95","120","35","35","80","80","120","4"
"oqFQY8Ml_ivuFJshPRTJpyX9YQf71-eVt4ZwE1kolUZF3VCAlBhQ0roWi4eNLyFA","2022-01-15 23:55:00","2022-01-15 23:59:52","2022-01-15 23:59:52","","6107a4ebe15d0d70f8cc0c9a","61e19414185ab41992e2afa7","61e350b68b34bca309156723","20","20","40","55","80","90","120","95","120","120","16","30","58","76","107","4"
"cmPRWFe2WBldspF9tv-gFWsQS--vpOvhAPEXctfSA6LMUfdV7Ml5TL4ayhLuwKra","2022-01-15 23:55:01","2022-01-16 00:00:53","2022-01-16 00:00:53","","6000310a80e07e033fb175fa","61e19414185ab41992e2afa7","61e350bfc4b0e4b55f9f4fed","20","25","40","60","80","90","90","80","90","120","20","45","60","80","120","4"
"Y38ZDLNAq8vwOxHl5cmPTV7E1j_WGNvNuok-YxgzHnfzPRfQ4F-N6aYQhjHdQEvS","2022-01-15 23:55:01","2022-01-15 23:57:27","2022-01-15 23:57:27","","5e95ae6180f80219fc918ce1","61e19414185ab41992e2afa7","61e350c0106d6d737b882c1c","10","20","35","50","70","30","45","60","85","100","15","30","55","75","105","4"
"VI1S-YR4WblZ8OUm87htzfkxP6tt8W_pfR7Wn4GGxRPhmOmmM_AJpdzqUm3MTLJl","2022-01-15 23:55:02","2022-01-16 00:00:16","2022-01-16 00:00:16","","6016c8e7ea3f2387ae8b47d5","61e19414185ab41992e2afa7","61e350b6c91ebadfa37e95e9","45","45","45","60","70","90","90","90","100","120","35","40","60","90","120","4"
"yfCY_FGkn1varCYobaaHrWjNUEVt2gS_cUNUfoXbq1to7F6wpWEiGA4lFYvu9kaQ","2022-01-15 23:55:02","2022-01-15 23:58:26","2022-01-15 23:58:26","","60d60bb9ced0566454d42750","61e19414185ab41992e2afa7","61e350c1d67c9d525aeaed9e","20","30","35","50","70","120","120","120","120","120","45","45","60","75","110","4"
"SR9wKI8-UpDnAocrTRwBDkoMhqSs9fjIMLAvS8NY24ES-urvNsn6T8KLfFjx1cik","2022-01-15 23:55:02","2022-01-15 23:58:35","2022-01-15 23:58:35","","601fe39124d634550d8a1d2e","61e19414185ab41992e2afa7","61e350c142de5e8a39453139","30","35","35","60","70","90","90","90","90","120","60","60","60","90","120","4"
"NDz7EZ9GWQuAtoBndTeut7ANLRKxbai6WedB99MTZ1n_6R58Ohc1dJ6yS9-yQZBj","2022-01-15 23:55:03","2022-01-15 23:58:05","2022-01-15 23:58:05","","6081f2ada1056056b09872c1","61e19414185ab41992e2afa7","61e350bd51f5ee1d635bb5cc","30","30","60","60","90","120","120","120","120","120","60","60","90","90","120","4"
"J4UQxMv1TLtQYKUVhl3ms3h6vKT9apb8TfGmN879Aj6lZ8ot1Ky9aqwpMoTczlOV","2022-01-15 23:55:03","2022-01-16 00:03:52","2022-01-16 00:03:52","","5e3df819d96094073a9c939a","61e19414185ab41992e2afa7","61e350c2106d6d737b882c1d","10","20","35","50","70","30","45","60","85","100","15","30","55","75","105","4"
"TCsV4N-nb56mzlXJFCYLx15vmNiFVnx1onsBk4MnN8fw_E5ZaaQ4WEUGziT5b9BS","2022-01-15 23:55:05","2022-01-15 23:58:51","2022-01-15 23:58:51","","5d6092f01d7a3e0001d6a7f6","61e19414185ab41992e2afa7","61e350ae1d9641a6cca5540d","10","30","45","50","70","120","90","120","90","120","45","45","90","90","180","4"
