"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"WlzUwb5CZggt4lHlNmrtAVgbyfio0RLIv1IdLyURTot74Apyp0pQtLrBidpRWcVf","2022-01-16 17:41:23","2022-01-16 17:43:04","2022-01-16 17:43:04","","611ce54a5580a96511a347ee","61e367685623b9b3189455fa","61e44ab10e9afddfdb1ac75f","12","22","40","55","75","120","120","120","120","120","30","35","60","80","110","4"
"KEUsKIRLZ7KkehvDaXi1ialYu6xMPHdhCrJR_lXvTbSaHsYDNdLXYkytPszF18Wf","2022-01-16 17:41:25","2022-01-16 17:47:22","2022-01-16 17:47:22","","5ea1c935df1e160ae8532b18","61e367685623b9b3189455fa","61e44a9180a04cd2a90706a2","30","35","50","55","70","90","120","140","150","150","60","60","60","120","120","4"
"EOx8O42kyFOezZQMnX4MOO5jPcdi0ADWUeUUGg5YwprkGRc99FhBlbP-U0s2cQf4","2022-01-16 17:41:43","2022-01-16 17:45:29","2022-01-16 17:45:29","","60e1d01fd9b9ff5cac25c326","61e367685623b9b3189455fa","61e44ac227981e6077b3d3f5","12","21","36","52","71","90","90","120","120","120","60","45","60","90","110","4"
"LJYelMzy0etsSRU_CovFYt3-MoSizd8kg1oyurkWaZ9dpsO6dI7yjk6P8G27-MdG","2022-01-16 17:42:14","2022-01-16 17:45:06","2022-01-16 17:45:06","","59d4a376d1ab390001da2d36","61e367685623b9b3189455fa","61e44ae4453bfc1da780302e","40","31","37","54","75","103","160","60","85","100","15","30","62","86","114","4"
"77QlL4erN3MFsDt51OmsOSPFAgjaQJmhjkNdAhrF1pK4UEbpKXYO5ms_rHA0Ykgx","2022-01-16 17:42:34","2022-01-16 17:49:00","2022-01-16 17:49:00","","5ac22f45436f550001ffbad2","61e367685623b9b3189455fa","61e44af242a8e166fc8a4bcc","10","20","35","51","72","35","47","63","90","110","15","30","55","78","109","4"
"ixU-4RTw2MDTf4SR6oe9QW2k75X3YFQWMgMtQUJyVRMQMDuH4Al0kIr6ndocd-EG","2022-01-16 17:42:41","2022-01-16 17:46:41","2022-01-16 17:46:41","","5bec8053b6b5ab00017c7349","61e367685623b9b3189455fa","61e44ae87c82f53d996c7d80","11","21","36","51","71","120","120","120","120","120","15","30","55","75","105","4"
"E1UNVE0Iowq-hfZgon3e_cn7E4xfka0gZ4hySlONejbit3LoxG3RuV7MSMZycLgl","2022-01-16 17:42:48","2022-01-16 18:02:04","2022-01-16 18:02:04","","5f2603dbc96c0e30c5a2cc79","61e367685623b9b3189455fa","61e44b0618ec2a9b878393a5","12","25","40","60","80","120","120","180","180","180","17","33","60","80","110","4"
"Nc_XMWP6IN862xfvXgOIjP8_uX7qA99vm_BIMSUhE8VfC_on5Hy7xxOocgr0AR28","2022-01-16 17:45:01","2022-01-16 17:51:00","2022-01-16 17:51:00","","616d46a16147b319b5b5d424","61e367685623b9b3189455fa","61e44b82aa62d8c8ea15290a","10","20","35","50","70","90","45","60","85","100","17","33","57","76","107","4"
"x7q-UZrFNm0hT89rsnXEXfYKt1P6P2UtHwDxCMSj2QQcOj4Oi6gNWnAibpjjEV4E","2022-01-16 17:46:13","2022-01-16 17:48:57","2022-01-16 17:48:57","","59b859e711212f0001cd10ff","61e367685623b9b3189455fa","61e44bd299261fc5fe807499","30","30","40","70","90","180","180","120","160","120","20","35","60","80","110","4"
"HoYZEB9y41NWeXjXl4RjDhyEcvxc_9N1sB9zJn-rHgnZ_ZYz0rDMzFzUwcTpfdcK","2022-01-16 17:46:19","2022-01-16 17:49:23","2022-01-16 17:49:23","","5f21ae6eef21ae5c8becdea7","61e367685623b9b3189455fa","61e44bd9dbcc50ff536c9c60","15","30","40","60","75","90","100","120","130","100","15","30","55","75","105","4"
