"Subject","Story","Level","Context","Prediction","T_val","z_score"
64,"cake",4,"Social",55,50,0.0773991384679493
64,"cake",5,"Social",75,70,0.175568326239566
65,"cake",1,"Social",30,10,0.842072741364995
65,"cake",2,"Social",25,20,0.373234667288383
65,"cake",3,"Social",40,35,0.169560027691772
65,"cake",4,"Social",50,50,0.821621623736688
65,"cake",5,"Social",75,70,0.175568326239566
66,"cake",1,"Social",15,10,0.585706963285524
66,"cake",2,"Social",25,20,0.373234667288383
66,"cake",3,"Social",40,35,0.169560027691772
66,"cake",4,"Social",55,50,0.0773991384679493
66,"cake",5,"Social",75,70,0.175568326239566
67,"cake",1,"Social",25,10,0.366146173148156
67,"cake",2,"Social",30,20,0.262960788316815
67,"cake",3,"Social",45,35,0.466290076152373
67,"cake",4,"Social",60,50,0.66682334680079
67,"cake",5,"Social",70,70,0.67434198032924
68,"cake",1,"Social",40,10,1.79392587779867
68,"cake",2,"Social",40,20,1.53535169952721
68,"cake",3,"Social",45,35,0.466290076152373
68,"cake",4,"Social",60,50,0.66682334680079
68,"cake",5,"Social",90,70,1.32075263602946
69,"cake",1,"Social",30,10,0.842072741364995
69,"cake",2,"Social",30,20,0.262960788316815
69,"cake",3,"Social",40,35,0.169560027691772
69,"cake",4,"Social",60,50,0.66682334680079
69,"cake",5,"Social",75,70,0.175568326239566
70,"cake",1,"Social",45,10,2.26985244601551
70,"cake",2,"Social",45,20,2.17154715513241
70,"cake",3,"Social",45,35,0.466290076152373
70,"cake",4,"Social",50,50,0.821621623736688
70,"cake",5,"Social",70,70,0.67434198032924
71,"cake",1,"Social",12,10,0.871262904215628
71,"cake",2,"Social",21,20,0.882191031772541
71,"cake",3,"Social",36,35,0.678240110767089
71,"cake",4,"Social",51,50,0.672777126682941
71,"cake",5,"Social",71,70,0.574587249511305
72,"cake",1,"Social",35,10,1.31799930958183
72,"cake",2,"Social",35,20,0.899156243922013
72,"cake",3,"Social",35,35,0.805410131535918
72,"cake",4,"Social",60,50,0.66682334680079
72,"cake",5,"Social",80,70,0.323205327850108
73,"cake",1,"Social",30,10,0.842072741364995
73,"cake",2,"Social",30,20,0.262960788316815
73,"cake",3,"Social",40,35,0.169560027691772
73,"cake",4,"Social",50,50,0.821621623736688
73,"cake",5,"Social",70,70,0.67434198032924
74,"cake",1,"Social",20,10,0.109780395068684
74,"cake",2,"Social",25,20,0.373234667288383
74,"cake",3,"Social",40,35,0.169560027691772
74,"cake",4,"Social",50,50,0.821621623736688
74,"cake",5,"Social",70,70,0.67434198032924
75,"cake",1,"Social",20,10,0.109780395068684
75,"cake",2,"Social",20,20,1.00943012289358
75,"cake",3,"Social",40,35,0.169560027691772
75,"cake",4,"Social",55,50,0.0773991384679493
75,"cake",5,"Social",75,70,0.175568326239566
76,"cake",1,"Social",15,10,0.585706963285524
76,"cake",2,"Social",25,20,0.373234667288383
76,"cake",3,"Social",40,35,0.169560027691772
76,"cake",4,"Social",50,50,0.821621623736688
76,"cake",5,"Social",75,70,0.175568326239566
77,"cake",1,"Social",15,10,0.585706963285524
77,"cake",2,"Social",25,20,0.373234667288383
77,"cake",3,"Social",40,35,0.169560027691772
77,"cake",4,"Social",55,50,0.0773991384679493
77,"cake",5,"Social",75,70,0.175568326239566
78,"cake",1,"Social",45,10,2.26985244601551
78,"cake",2,"Social",35,20,0.899156243922013
78,"cake",3,"Social",50,35,1.10214017999652
78,"cake",4,"Social",55,50,0.0773991384679493
78,"cake",5,"Social",80,70,0.323205327850108
79,"cake",1,"Social",12,10,0.871262904215628
79,"cake",2,"Social",22,20,0.754951940651502
79,"cake",3,"Social",36,35,0.678240110767089
79,"cake",4,"Social",52,50,0.523932629629193
79,"cake",5,"Social",72,70,0.47483251869337
80,"cake",1,"Social",20,10,0.109780395068684
80,"cake",2,"Social",20,20,1.00943012289358
80,"cake",3,"Social",40,35,0.169560027691772
