Subject,Story,Level,Context,Rating,TVal
18,movie,2,1,3.0,45.0
18,movie,2,2,1.0,45.0
19,movie,2,1,7.0,45.0
19,movie,2,2,2.0,45.0
20,movie,2,1,2.0,45.0
20,movie,2,2,2.0,45.0
21,movie,2,1,2.0,45.0
21,movie,2,2,4.0,45.0
22,movie,2,1,6.0,45.0
22,movie,2,2,6.0,45.0
23,movie,2,1,1.0,45.0
23,movie,2,2,3.0,45.0
24,movie,2,1,1.0,45.0
24,movie,2,2,1.0,45.0
25,movie,2,1,3.0,45.0
25,movie,2,2,7.0,45.0
26,movie,2,1,3.0,45.0
26,movie,2,2,4.0,45.0
27,movie,2,1,4.0,45.0
27,movie,2,2,3.0,45.0
28,movie,2,1,2.0,45.0
28,movie,2,2,2.0,45.0
29,movie,2,1,2.0,45.0
29,movie,2,2,1.0,45.0
30,movie,2,1,1.0,45.0
30,movie,2,2,2.0,45.0
31,movie,2,1,2.0,45.0
31,movie,2,2,3.0,45.0
32,movie,2,1,2.0,45.0
32,movie,2,2,2.0,45.0
33,movie,2,1,1.0,45.0
33,movie,2,2,3.0,45.0
34,movie,2,1,4.0,45.0
34,movie,2,2,4.0,45.0
35,movie,2,1,5.0,45.0
35,movie,2,2,1.0,45.0
36,movie,2,1,3.0,45.0
36,movie,2,2,3.0,45.0
